1929-03-01,17,-0.58
1929-04-01,16.9,-0.59
1929-05-01,17,0.59
1929-06-01,17.1,0.59
1929-07-01,17.3,1.17
1929-08-01,17.3,0
1929-09-01,17.3,0
1929-10-01,17.3,0
1929-11-01,17.3,0
1929-12-01,17.2,-0.58
1930-01-01,17.1,-0.58
1930-02-01,17,-0.58
1930-03-01,16.9,-0.59
1930-04-01,17,0.59
1930-05-01,16.9,-0.59
1930-06-01,16.8,-0.59
1930-07-01,16.6,-1.19
1930-08-01,16.5,-0.6
1930-09-01,16.6,0.61
1930-10-01,16.5,-0.6
1930-11-01,16.4,-0.61
1930-12-01,16.1,-1.83
1931-01-01,15.9,-1.24
1931-02-01,15.7,-1.26
1931-03-01,15.6,-0.64
1931-04-01,15.5,-0.64
1931-05-01,15.3,-1.29
1931-06-01,15.1,-1.31
1931-07-01,15.1,0
1931-08-01,15.1,0
1931-09-01,15,-0.66
1931-10-01,14.9,-0.67
1931-11-01,14.7,-1.34
1931-12-01,14.6,-0.68
1932-01-01,14.3,-2.05
1932-02-01,14.1,-1.4
1932-03-01,14,-0.71
1932-04-01,13.9,-0.71
1932-05-01,13.7,-1.44
1932-06-01,13.6,-0.73
1932-07-01,13.6,0
1932-08-01,13.5,-0.74
1932-09-01,13.4,-0.74
1932-10-01,13.3,-0.75
1932-11-01,13.2,-0.75
1932-12-01,13.1,-0.76
1933-01-01,12.9,-1.53
1933-02-01,12.7,-1.55
1933-03-01,12.6,-0.79
1933-04-01,12.6,0
1933-05-01,12.6,0
1933-06-01,12.7,0.79
1933-07-01,13.1,3.15
1933-08-01,13.2,0.76
1933-09-01,13.2,0
1933-10-01,13.2,0
1933-11-01,13.2,0
1933-12-01,13.2,0
1934-01-01,13.2,0
1934-02-01,13.3,0.76
1934-03-01,13.3,0
1934-04-01,13.3,0
1934-05-01,13.3,0
1934-06-01,13.4,0.75
1934-07-01,13.4,0
1934-08-01,13.4,0
1934-09-01,13.6,1.49
1934-10-01,13.5,-0.74
1934-11-01,13.5,0
1934-12-01,13.4,-0.74
1935-01-01,13.6,1.49
1935-02-01,13.7,0.74
1935-03-01,13.7,0
1935-04-01,13.8,0.73
1935-05-01,13.8,0
1935-06-01,13.7,-0.72
1935-07-01,13.7,0
1935-08-01,13.7,0
1935-09-01,13.7,0
1935-10-01,13.7,0
1935-11-01,13.8,0.73
1935-12-01,13.8,0
1936-01-01,13.8,0
1936-02-01,13.8,0
1936-03-01,13.7,-0.72
1936-04-01,13.7,0
1936-05-01,13.7,0
1936-06-01,13.8,0.73
1936-07-01,13.9,0.72
1936-08-01,14,0.72
1936-09-01,14,0
1936-10-01,14,0
1936-11-01,14,0
1936-12-01,14,0
1937-01-01,14.1,0.71
1937-02-01,14.1,0
1937-03-01,14.2,0.71
1937-04-01,14.3,0.7
1937-05-01,14.4,0.7
1937-06-01,14.4,0
1937-07-01,14.5,0.69
1937-08-01,14.5,0
1937-09-01,14.6,0.69
1937-10-01,14.6,0
1937-11-01,14.5,-0.68
1937-12-01,14.4,-0.69
1938-01-01,14.2,-1.39
1938-02-01,14.1,-0.7
1938-03-01,14.1,0
1938-04-01,14.2,0.71
1938-05-01,14.1,-0.7
1938-06-01,14.1,0
1938-07-01,14.1,0
1938-08-01,14.1,0
1938-09-01,14.1,0
1938-10-01,14,-0.71
1938-11-01,14,0
1938-12-01,14,0
1939-01-01,14,0
1939-02-01,13.9,-0.71
1939-03-01,13.9,0
1939-04-01,13.8,-0.72
1939-05-01,13.8,0
1939-06-01,13.8,0
1939-07-01,13.8,0
1939-08-01,13.8,0
1939-09-01,14.1,2.17
1939-10-01,14,-0.71
1939-11-01,14,0
1939-12-01,14,0
1940-01-01,13.9,-0.71
1940-02-01,14,0.72
1940-03-01,14,0
1940-04-01,14,0
1940-05-01,14,0
1940-06-01,14.1,0.71
1940-07-01,14,-0.71
1940-08-01,14,0
1940-09-01,14,0
1940-10-01,14,0
1940-11-01,14,0
1940-12-01,14.1,0.71
1941-01-01,14.1,0
1941-02-01,14.1,0
1941-03-01,14.2,0.71
1941-04-01,14.3,0.7
1941-05-01,14.4,0.7
1941-06-01,14.7,2.08
1941-07-01,14.7,0
1941-08-01,14.9,1.36
1941-09-01,15.1,1.34
1941-10-01,15.3,1.32
1941-11-01,15.4,0.65
1941-12-01,15.5,0.65
1942-01-01,15.7,1.29
1942-02-01,15.8,0.64
1942-03-01,16,1.27
1942-04-01,16.1,0.63
1942-05-01,16.3,1.24
1942-06-01,16.3,0
1942-07-01,16.4,0.61
1942-08-01,16.5,0.61
1942-09-01,16.5,0
1942-10-01,16.7,1.21
1942-11-01,16.8,0.6
1942-12-01,16.9,0.6
1943-01-01,16.9,0
1943-02-01,16.9,0
1943-03-01,17.2,1.78
1943-04-01,17.4,1.16
1943-05-01,17.5,0.57
1943-06-01,17.5,0
1943-07-01,17.4,-0.57
1943-08-01,17.3,-0.57
1943-09-01,17.4,0.58
1943-10-01,17.4,0
1943-11-01,17.4,0
1943-12-01,17.4,0
1944-01-01,17.4,0
1944-02-01,17.4,0
1944-03-01,17.4,0
1944-04-01,17.5,0.57
1944-05-01,17.5,0
1944-06-01,17.6,0.57
1944-07-01,17.7,0.57
1944-08-01,17.7,0
1944-09-01,17.7,0
1944-10-01,17.7,0
